,percent,Provider,diameter,average path length,clustering,average degree,soglia percolativa,GCsize
127,23,Vodafone,2,1.9705363054513352,0.8691433047385515,40.630434782608695,181.94203673978953,1.0
128,24,Vodafone,2,1.9710365081776293,0.8689001871244202,39.44827586206897,177.8689555125725,1.0
129,25,Vodafone,2,1.9710843639697961,0.8691965624341423,38.89153046062407,176.56964927026823,1.0
130,26,Vodafone,2,1.9710319834643313,0.8693189218041641,38.46952595936794,175.04702108516216,1.0
131,27,Vodafone,2,1.9709924001413928,0.8696472266501402,38.02896341463415,173.7844229767106,1.0
132,28,Vodafone,2,1.9711254199662236,0.8701764056805206,37.363706563706565,172.5918654156161,1.0
133,29,Vodafone,2,1.970997655645874,0.8709299853926165,37.03599374021909,171.21486520747064,1.0
134,30,Vodafone,2,1.9709426884684618,0.8715223167142017,36.6122125297383,170.11705077109687,1.0
135,31,Vodafone,2,1.9711787941734162,0.8722051243790171,35.82475884244373,167.1381770856707,1.0
136,32,Vodafone,2,1.9709353573949913,0.8721515579888063,35.63325183374083,165.56845523992502,1.0
137,33,Vodafone,2,1.97099713580652,0.8733524750104985,35.06446280991736,164.93980390308286,1.0
138,34,Vodafone,2,1.9706537576579262,0.8733096993008334,34.980720871751885,163.42341608358095,1.0
139,35,Vodafone,2,1.9707063250832249,0.8742514795437759,34.42006802721088,162.2277286427195,1.0
140,36,Vodafone,2,1.970473623113249,0.8745656353642888,34.19154443485763,160.7230745937216,1.0
141,37,Vodafone,2,1.9701923682025322,0.8750104237826866,34.01050788091068,159.52440782698253,1.0
142,38,Vodafone,2,1.9703155397390273,0.8754732870998742,33.36533333333333,157.9853473998295,1.0
143,39,Vodafone,2,1.9704880983827888,0.8766823894599728,32.66967509025271,156.7606497596552,1.0
144,40,Vodafone,2,1.9702688384530647,0.8770750774464623,32.406966086159485,155.1935173662179,1.0
145,41,Vodafone,2,1.9700226136365608,0.87730729713886,32.1657355679702,153.8552075493545,1.0
146,42,Vodafone,2,1.9700141194346492,0.8778648660318115,31.665089877010406,152.64774424858084,1.0
147,43,Vodafone,2,1.969984082327682,0.8785992356851724,31.18653846153846,151.30720848492322,1.0
148,44,Vodafone,2,1.9698098337073149,0.8795188351374845,30.854349951124146,150.09872006082878,1.0
149,45,Vodafone,2,1.969636904938528,0.880220404018135,30.514910536779325,148.57117727539253,1.0
150,46,Vodafone,2,1.9696233466921562,0.8804080806591602,30.012133468149646,147.00424499696786,1.0
151,47,Vodafone,2,1.9695914016774527,0.8813708494866476,29.526748971193417,145.5633449477352,1.0
152,48,Vodafone,2,1.9695720416652946,0.8821652197249206,29.028272251308902,144.33071206983624,1.0
153,49,Vodafone,2,1.9698557069811788,0.8810672620061073,28.245202558635395,140.3661206310863,1.0
154,50,Vodafone,2,1.9699287164235473,0.8816715260083579,27.665580890336592,139.44536891679746,1.0
155,51,Vodafone,2,1.9693867050833505,0.8818102866104945,27.643805309734514,137.92597038815526,1.0
156,52,Vodafone,2,1.9691404053025772,0.8827166973590692,27.34160090191657,136.66229589312223,1.0
157,53,Vodafone,2,1.9688716056241153,0.8827001573825184,27.050574712643677,135.4185433840401,1.0
158,54,Vodafone,2,1.9692579077434518,0.8836056885715748,26.19226260257913,134.1104645958285,1.0
159,55,Vodafone,2,1.9686760450391083,0.8832325878717199,26.1555023923445,132.3013811396689,1.0
160,56,Vodafone,2,1.9684211469052544,0.8829185187670163,25.831501831501832,130.47097750047266,1.0
161,57,Vodafone,2,1.9687890137328339,0.8750370824386176,25.0,129.28498753117208,1.0
162,58,Vodafone,2,1.968754062134408,0.8750767436113883,24.496815286624205,128.34997399895994,1.0
163,59,Vodafone,2,1.9696599304650153,0.8735778359532613,23.270833333333332,123.3221799462847,1.0
164,60,Vodafone,2,1.9695162006213938,0.8737501917905034,22.862849533954726,121.69318578916715,1.0
165,61,Vodafone,4,2.1135120868663364,0.8432225857180169,20.68392370572207,94.58292715057306,0.9918256130790191
166,62,Vodafone,4,2.1095579813468595,0.8443835756266329,20.2649930264993,93.35182381280111,0.9916317991631799
167,63,Vodafone,4,2.115982015123646,0.845518360957157,19.774285714285714,91.99653229302125,0.9928571428571429
168,64,Vodafone,4,2.1124416602619975,0.8437738346482863,19.686676427525622,90.57057861073926,0.9926793557833089
169,65,Vodafone,4,2.1069791596107383,0.8349288911164264,19.42042042042042,89.8583578166074,0.9924924924924925
170,66,Vodafone,4,2.1132606669329834,0.8367807864511722,19.22342064714946,88.82991343379288,0.9938366718027735
171,67,Vodafone,4,2.107750406226805,0.8384965292686541,19.240506329113924,87.12302631578947,0.9936708860759493
172,68,Vodafone,4,2.110712110378433,0.8408182330883963,18.94959349593496,86.1328299296379,0.9967479674796748
173,69,Vodafone,4,2.109947731970891,0.8392497670990592,18.34113712374582,84.4936177972283,0.9966555183946488
174,70,Vodafone,4,2.1095970087245535,0.8409689047431504,17.29776247848537,83.82348258706466,0.9965576592082617
175,71,Vodafone,8,2.447180126727385,0.7947444340354239,14.709219858156029,56.61957569913211,0.9539007092198581
176,72,Vodafone,8,2.2908237405495173,0.7938335492573086,14.442413162705668,55.93898734177215,0.9341864716636198
177,73,Vodafone,8,2.366187537896351,0.7687844683273052,13.045283018867925,46.55973387330055,0.9245283018867925
178,74,Vodafone,8,2.374215704191033,0.7689124350585659,12.803118908382066,45.316382460414125,0.9239766081871345
179,75,Vodafone,8,2.378926360377973,0.7581114943456321,11.903225806451612,44.02506775067751,0.9233870967741935
180,76,Vodafone,8,2.386221294363257,0.7650469231729536,11.173277661795407,43.097907324364726,0.9227557411273486
181,77,Vodafone,8,2.367627311228179,0.7608163179190477,10.80952380952381,42.094112935522624,0.9199134199134199
182,78,Vodafone,8,2.3536795222188482,0.7556214487013139,10.584269662921349,41.276857749469215,0.9168539325842696
183,79,Vodafone,8,2.3645516426273283,0.7537054937151061,10.30841121495327,39.973708068902994,0.9182242990654206
184,80,Vodafone,8,2.359705655450715,0.7531412477341527,9.956204379562044,38.70527859237537,0.9172749391727494
185,81,Vodafone,8,2.3407473424523064,0.7444430228958344,9.33502538071066,37.098966829798805,0.9137055837563451
186,82,Vodafone,8,2.3257237993114734,0.7419402419842367,9.26259946949602,36.12371134020619,0.9124668435013262
187,83,Vodafone,8,2.3220210461157538,0.7443566946210841,9.172222222222222,35.54512416717141,0.9138888888888889
188,84,Vodafone,7,2.2534226723270763,0.7434280253233316,9.002915451895044,34.543393782383426,0.9067055393586005
189,85,Vodafone,7,2.237092968381312,0.7384714032549156,8.760736196319018,33.57983193277312,0.9049079754601227
190,86,Vodafone,7,2.2210944395410417,0.7433946887490415,8.686084142394822,32.34202682563338,0.9061488673139159
191,87,Vodafone,9,2.5524408040295627,0.7103825600224466,7.589041095890411,23.089350180505416,0.8801369863013698
192,88,Vodafone,9,2.5587790311877905,0.69764991351457,7.403636363636363,22.283889980353635,0.88
193,89,Vodafone,9,2.5490000904895487,0.691436539665387,7.147286821705427,21.39587852494577,0.8798449612403101
194,90,Vodafone,6,1.882399723374827,0.661163073765603,6.531120331950207,20.426937738246508,0.7842323651452282
195,91,Vodafone,6,1.7326233183856503,0.6360851197404249,6.1875,19.42279942279942,0.7633928571428571
196,92,Vodafone,8,1.948782890108344,0.6199647512380613,5.719806763285024,18.260135135135137,0.7632850241545893
197,93,Vodafone,4,0.8905597326649958,0.6160780397441874,5.578947368421052,17.616981132075473,0.5894736842105263
198,94,Vodafone,4,0.8926603038042747,0.6087404761127005,4.994219653179191,15.939814814814813,0.5895953757225434
199,95,Vodafone,4,0.9064516129032258,0.6001469456240689,4.653846153846154,14.757575757575758,0.5961538461538461
200,96,Vodafone,4,0.8650818475654259,0.578014131044495,4.158273381294964,13.190311418685122,0.5827338129496403
201,97,Vodafone,5,0.3549654518357946,0.4909220181761166,3.0655737704918034,7.625668449197861,0.30327868852459017
202,98,Vodafone,5,0.35384615384615387,0.47096793153936006,2.8,7.020408163265307,0.3142857142857143
203,99,Vodafone,5,0.3654649947753396,0.44711399711399713,2.5,5.918181818181818,0.3181818181818182
204,100,Vodafone,3,0.22414486921529175,0.3456135505845531,1.943661971830986,5.08695652173913,0.28169014084507044
205,101,Vodafone,3,0.06429070580013976,0.1907407407407407,1.1111111111111112,2.7666666666666666,0.12962962962962962
206,102,Vodafone,2,0.03003003003003003,0.15315315315315317,0.6486486486486487,2.1666666666666665,0.10810810810810811
207,103,Vodafone,1,0.005263157894736842,0.0,0.1,1.0,0.1
208,104,Vodafone,0,0.0,0.0,0.0,,0.3333333333333333
209,0,Wind,2,1.9588213620087072,0.8879130653782077,97.34630021141649,477.7431544930155,1.0
210,1,Wind,2,1.9588040174938195,0.888228956897734,96.4397950469684,475.2251994580762,1.0
211,2,Wind,2,1.9585753134346906,0.888350345416348,96.02242345838724,472.13242558695146,1.0
212,3,Wind,2,1.958549110701191,0.8886194828479399,95.12979094076655,468.7530148614125,1.0
213,4,Wind,2,1.958489664338871,0.8888705490961724,94.31148262208535,465.9367075616924,1.0
214,5,Wind,2,1.9591028111259325,0.8893906510107404,91.97777777777777,458.72746073930904,1.0
215,6,Wind,2,1.9591539914251743,0.8894513184326928,90.92321508756174,455.12075896605194,1.0
216,7,Wind,2,1.9589151239894782,0.889619928658503,90.50998185117967,452.96787712297726,1.0
217,8,Wind,2,1.958617585570124,0.8896722859511631,90.21366345712975,449.31470450710526,1.0
218,9,Wind,2,1.9583965475682552,0.8898770985033843,89.7386468952734,445.89763291609864,1.0
219,10,Wind,2,1.9586004666281833,0.8895257001309838,88.34660421545668,439.50857809352135,1.0
220,11,Wind,2,1.9582140088712803,0.8894064026513008,88.21022727272727,436.36674181427804,1.0
221,12,Wind,2,1.9586829570694149,0.889487030603957,86.26998563906176,426.9887469620126,1.0
222,13,Wind,2,1.9590782623778507,0.8893793044620316,84.50338818973863,419.5365096457865,1.0
223,14,Wind,2,1.9591155485178362,0.8899073429207229,83.48604992657856,417.34182291483455,1.0
224,15,Wind,2,1.95913279292268,0.890872067672052,82.51089108910891,415.9320341749064,1.0
225,16,Wind,2,1.9594787973543482,0.8909293821573778,80.88032048072108,411.0031699253334,1.0
226,17,Wind,2,1.959123958649468,0.8909670189190299,80.6484295845998,408.4669221105528,1.0
227,18,Wind,2,1.9592903047746717,0.891504984957936,79.38390568939006,406.6208370459329,1.0
228,19,Wind,2,1.95894764721462,0.8917274479387824,79.10788381742739,403.5852871754524,1.0
229,20,Wind,2,1.9591846975010476,0.8920046282061633,77.71233595800526,398.1124680833817,1.0
230,21,Wind,2,1.9592518958814613,0.8920361961157892,76.6471838469713,394.580547660312,1.0
231,22,Wind,2,1.9588126537700108,0.891845646533277,76.52608929532006,391.0547440637697,1.0
232,23,Wind,2,1.9590568289077666,0.8924041317261591,75.13071895424837,387.93446425982313,1.0
233,24,Wind,2,1.9587459469200246,0.8930236547716718,74.75234418091561,385.6961468648082,1.0
234,25,Wind,2,1.9584974596463178,0.8929579222416058,74.24804469273742,382.6783242039367,1.0
235,26,Wind,2,1.9580973952434881,0.8930821729616857,74.0,379.52134477431593,1.0
236,27,Wind,2,1.9578234300241595,0.8937703581247082,73.5137614678899,376.5689660551604,1.0
237,28,Wind,2,1.957334837776847,0.8937439865422321,73.38407902382336,373.10934802920167,1.0
238,29,Wind,2,1.9567753806516452,0.8933096911956772,73.35217903415783,369.5344755604085,1.0
239,30,Wind,2,1.9562937998181138,0.8934047930361525,73.16417910447761,366.1015911872705,1.0
240,31,Wind,2,1.957091087212534,0.893489459757026,70.84261501210653,355.8476314170483,1.0
241,32,Wind,2,1.9570876753197195,0.8939151469344302,69.86126457949662,353.1441952831184,1.0
242,33,Wind,2,1.9573243638536175,0.893831059876151,68.49439601494396,349.17586952964496,1.0
243,34,Wind,2,1.957202514389216,0.8945172593651717,67.70562223626027,346.67629550840655,1.0
244,35,Wind,2,1.958045097942468,0.8946682092482547,65.4076923076923,338.4928456623153,1.0
245,36,Wind,2,1.9577437106918238,0.8950173497537826,64.90566037735849,335.19202085004014,1.0
246,37,Wind,2,1.9573620432692098,0.8950406226389712,64.5112285336856,331.33101259342686,1.0
247,38,Wind,2,1.9575151130496626,0.8949423724300126,63.30248155600268,326.59743176809627,1.0
248,39,Wind,2,1.9574461959661138,0.8949793223604314,62.426430517711175,322.164313306126,1.0
249,40,Wind,2,1.9569937409540972,0.8954907928724304,62.101038062283735,319.13789337612553,1.0
250,41,Wind,2,1.9570645659689745,0.8954604839060363,61.0112517580872,315.4978445791743,1.0
251,42,Wind,2,1.9566510311370988,0.8949793271262672,60.601858470335955,311.5185534665377,1.0
252,43,Wind,2,1.956698731501057,0.8947648230454572,59.53924418604651,307.0324927373483,1.0
253,44,Wind,2,1.9560083443760743,0.8948246369581853,59.47671840354767,303.4575753056964,1.0
254,45,Wind,2,1.9565833319189623,0.8930607026624935,57.70075187969925,289.78778243986346,1.0
255,46,Wind,2,1.955949294117785,0.8928639425428729,57.53022188217292,285.7049686136823,1.0
256,47,Wind,2,1.9563717241764458,0.894352215094265,55.97507788161994,283.2151881121994,1.0
257,48,Wind,2,1.9569918054454136,0.893945993633167,54.190325138778746,277.99157081394327,1.0
258,49,Wind,2,1.957069516509665,0.893209064536554,53.105008077544426,272.0770260403991,1.0
259,50,Wind,2,1.9564748713568043,0.8931117363619125,52.839506172839506,268.0960747663552,1.0
260,51,Wind,2,1.956626601074051,0.894879001272209,51.65771812080537,266.36442769910354,1.0
261,52,Wind,2,1.9562967997468859,0.8953419656236636,51.045337895637296,262.79484515350583,1.0
262,53,Wind,2,1.9559112005304191,0.8959579887355095,50.481675392670155,259.5537924358709,1.0
263,54,Wind,2,1.9559494161138915,0.8970012591883735,49.42475512021371,256.1613217065437,1.0
264,55,Wind,2,1.9566266854164944,0.8975145042282322,47.667272727272724,251.26131899149408,1.0
