radio,net,cell,lon,lat,range,samples,distance
UMTS,1,98832111,12.525876,41.965276,1246,105,8717
UMTS,1,98834842,12.525897,41.963835,113,26,8564
UMTS,1,98831163,12.525785,41.963182,448,41,8492
UMTS,1,98831161,12.531664,41.95975,159,17,8272
UMTS,1,98831607,12.539724,41.9558,499,31,8104
UMTS,1,98831606,12.545035,41.953086,158,24,8019
UMTS,1,98834866,12.549945,41.949365,490,47,7853
UMTS,1,98831181,12.5521,41.945479,442,57,7587
UMTS,1,98831408,12.552421,41.942347,154,30,7322
UMTS,1,98831470,12.559385,41.93915,1627,9,7382
UMTS,1,98388680,12.556879,41.932651,152,13,6732
UMTS,1,98372613,12.559983,41.931662,311,16,6823
UMTS,1,98372612,12.565155,41.926227,585,37,6734
UMTS,1,98369729,12.564108,41.92551,96,12,6624
UMTS,1,98372318,12.565881,41.922683,186,14,6552
UMTS,1,98372320,12.564395,41.922523,59,10,6450
UMTS,1,98379656,12.564834,41.922973,12,3,6505
UMTS,1,98379654,12.566188,41.921622,226,22,6506
UMTS,1,98379655,12.567663,41.918181,165,6,6404
UMTS,1,98370122,12.570858,41.913822,777,20,6398
UMTS,1,98370123,12.572928,41.908626,329,32,6328
UMTS,1,98372666,12.58606,41.905784,757,3,7175
UMTS,1,98372060,12.605989,41.917327,213,20,8967
UMTS,1,98832191,12.472764,41.989765,1962,69,11172
UMTS,1,98830958,12.489763,41.985644,105,8,10620
UMTS,1,98830128,12.500059,41.988941,756,35,11000
UMTS,1,98830871,12.578847,41.958475,1530,18,9952
UMTS,1,98830870,12.584499,41.952871,7021,35,9774
UMTS,1,98372116,12.600933,41.933534,412,49,9400
UMTS,1,98369715,12.609888,41.934985,255,16,10056
UMTS,1,98369714,12.617516,41.937257,229,3,10674
UMTS,1,98370036,12.622563,41.937601,433,13,11020
UMTS,1,98370035,12.634133,41.940315,655,49,11921
UMTS,1,98373376,12.630751,41.92561,44,8,11012
UMTS,1,98372637,12.625212,41.934554,265,30,11038
UMTS,1,98372062,12.576843,41.909557,499,19,6637
UMTS,1,98372061,12.573891,41.902984,14,3,6223
UMTS,1,98372668,12.574546,41.901549,489,9,6236
UMTS,1,98371490,12.576447,41.901057,6,3,6363
UMTS,1,98372254,12.574599,41.903191,112,11,6279
UMTS,1,98371488,12.626864,41.896428,3374,4,10016
GSM,1,39103,12.647542,41.892019,2,2,11528
GSM,1,39122,12.626316,41.891804,1834,9,9952
GSM,1,3428,12.647465,41.891965,5,4,11523
GSM,1,38950,12.490788,41.985947,167,2,10653
GSM,1,39501,12.501304,41.989318,705,24,11047
GSM,1,13645,12.509308,41.990367,46,6,11215
GSM,1,43033,12.530794,41.980537,65,6,10449
GSM,1,44185,12.53934,41.975463,269,6,10109
GSM,1,39081,12.542738,41.973716,21,2,10019
GSM,1,44186,12.54158,41.971855,158,4,9794
GSM,1,44187,12.540845,41.972215,58,9,9811
UMTS,1,98870971,12.540756,41.971995,84,8,9786
UMTS,1,98830251,12.540117,41.968799,31,3,9438
GSM,1,39445,12.478465,41.877442,273,12,1750
GSM,1,13749,12.479628,41.877928,242,8,1656
GSM,1,13751,12.476728,41.879875,298,29,1629
GSM,1,13750,12.4774,41.878605,79,2,1698
GSM,1,38487,12.473603,41.884093,281,7,1546
GSM,1,23843,12.481852,41.875009,189,29,1857
GSM,1,38566,12.48012,41.856324,387,9,3872
GSM,1,38570,12.470419,41.829955,218,8,6892
GSM,1,39562,12.466899,41.8303,73,3,6921
GSM,1,38572,12.46652,41.831162,85,3,6837
GSM,1,47294,12.458379,41.895905,910,28,2600
GSM,1,38579,12.462502,41.899917,764,21,2466
GSM,1,39490,12.456519,41.896123,375,55,2740
GSM,1,39547,12.456941,41.898279,584,84,2778
GSM,1,39489,12.456505,41.896686,700,58,2757
GSM,1,47295,12.459233,41.896527,812,7,2557
GSM,1,6697,12.458314,41.895525,20,4,2595
GSM,1,38929,12.456663,41.895652,329,39,2718
GSM,1,39451,12.463019,41.89933,684,5,2403
GSM,1,38929,12.456789,41.896385,143,2,2728
GSM,1,5185,12.455445,41.897879,339,20,2870
GSM,1,4787,12.460266,41.897299,771,10,2509
GSM,1,39491,12.457617,41.894757,100,12,2628
GSM,1,5243,12.457796,41.900458,735,21,2808
GSM,1,39269,12.456485,41.898125,966,54,2805
GSM,1,39491,12.455075,41.896662,556,21,2859
GSM,1,39270,12.458008,41.901976,692,41,2867
GSM,1,38577,12.463744,41.901709,174,10,2480
GSM,1,39421,12.464117,41.902131,583,70,2482
GSM,1,5244,12.46328,41.901872,537,20,2519
GSM,1,39423,12.461772,41.902388,438,81,2645
GSM,1,5242,12.464049,41.902025,143,3,2480
GSM,1,5242,12.465168,41.902175,446,54,2419
GSM,1,4843,12.465957,41.901564,109,4,2332
GSM,1,42872,12.464273,41.90233,376,72,2484
GSM,1,11603,12.46643,41.90142,21,6,2294
GSM,1,4843,12.4649,41.902412,179,30,2450
GSM,1,16047,12.466444,41.90153,25,6,2300
GSM,1,16048,12.466445,41.901544,10,3,2301
GSM,1,11603,12.466352,41.901996,60,5,2335
GSM,1,39546,12.464267,41.902445,201,14,2491
GSM,1,5699,12.466399,41.901803,22,4,2320
GSM,1,39546,12.483252,41.888748,20310,47,692
GSM,1,39057,12.466397,41.90187,30,5,2324
GSM,1,39059,12.465006,41.902453,233,19,2446
GSM,1,4785,12.462998,41.902527,278,12,2575
GSM,1,38635,12.464806,41.902666,339,22,2471
GSM,1,5990,12.459442,41.902508,457,43,2801
GSM,1,38510,12.430065,41.813579,2387,9,9691
GSM,1,39037,12.434109,41.81538,549,4,9374
GSM,1,26083,12.463543,41.839424,386,5,6035
GSM,1,38989,12.474303,41.847961,454,3,4882
GSM,1,52643,12.478133,41.855292,167,6,4020
GSM,1,52642,12.480017,41.856632,116,16,3841
GSM,1,38429,12.481313,41.856512,14,3,3832
GSM,1,42551,12.493448,41.889214,480,16,135
GSM,1,39133,12.488027,41.884492,365,7,708
GSM,1,39135,12.484556,41.880827,3,2,1189
GSM,1,40190,12.424846,41.809894,95,2,10237
GSM,1,26120,12.399975,41.801838,2329,4,11979
GSM,1,4840,12.372248,41.862103,646,3,9446
GSM,1,26083,12.454663,41.851648,861,7,5116
GSM,1,42845,12.509638,41.821555,3133,14,7739
GSM,1,38622,12.499854,41.818464,997,3,7995
GSM,1,51704,12.468887,41.817105,2638,4,8311
UMTS,1,99007076,12.59946,41.881375,1260,2,8015
UMTS,1,98961870,12.58549,41.876947,3,2,7072
UMTS,1,98835243,12.517801,41.949072,200,3,6819
UMTS,1,98833873,12.50012,41.921577,2,2,3540
UMTS,1,98838423,12.518665,41.948396,581,4,6765
UMTS,1,98829919,12.520631,41.947512,391,2,6715
GSM,1,42554,12.516907,41.950216,800,10,6923
GSM,1,38451,12.47002,41.797459,2184,3,10444
GSM,1,52928,12.506553,41.815083,2917,5,8418
GSM,1,4396,12.508316,41.873805,224,3,2173
GSM,1,7798,12.386731,41.88384,2104,2,7873
UMTS,1,98850851,12.434785,41.933428,15252,505,6436
GSM,1,38623,12.497133,41.814711,71,9,8400
GSM,1,39119,12.50622,41.80108,1757,3,9962
