radio,net,cell,lon,lat,range,samples,distance
UMTS,88,25233455,12.476941,41.872145,1929,10,2307
UMTS,88,25692209,12.466732,41.876222,840,6,2453
UMTS,88,25374329,12.595416,41.86535,186,4,8136
UMTS,88,25438623,12.528239,41.906897,5201,7,3251
UMTS,88,25446531,12.530772,41.89773,193,2,2976
UMTS,88,25271535,12.463565,41.913908,15889,14,3396
UMTS,88,25242191,12.378864,41.936234,8460,2,9865
UMTS,88,25233462,12.47089,41.887963,115,5,1611
UMTS,88,25271466,12.467325,41.902916,594,6,2336
UMTS,88,25377132,12.62913,41.865664,49,3,10516
UMTS,88,25729510,12.456913,41.882473,27,2,2766
UMTS,88,25504992,12.412163,41.948264,28,2,8788
UMTS,88,25299046,12.489621,41.829662,101,3,6733
UMTS,88,25299017,12.455186,41.818596,23,3,8425
UMTS,88,25243378,12.493291,41.896015,488,9,653
UMTS,88,25259112,12.510459,41.909925,92,5,2576
UMTS,88,25700592,12.441694,41.870335,2282,8,4359
UMTS,88,25299030,12.445408,41.865534,336,2,4432
UMTS,88,25699558,12.442163,41.875737,27,7,4056
UMTS,88,25698793,12.442122,41.875715,13,3,4060
UMTS,88,25307626,12.473178,41.85242,72,5,4433
UMTS,88,25702144,12.462507,41.874046,2521,23,2849
UMTS,88,25233435,12.516486,41.892638,9192,16,1814
UMTS,88,25311267,12.439372,41.846138,4467,18,6280
UMTS,88,25299050,12.468312,41.848741,523,2,4941
UMTS,88,25239867,12.4703,41.891065,463,17,1639
UMTS,88,25730769,12.45703,41.883335,173,9,2729
UMTS,88,50594049,12.490489,41.892699,3129,4,312
GSM,88,8575,12.478855,41.86976,309,2,2481
UMTS,88,25307625,12.457656,41.837378,11471,21,6411
UMTS,88,25305553,12.440779,41.823092,288,2,8384
UMTS,88,25305552,12.44313,41.807739,1379,17,9869
UMTS,88,25313771,12.421575,41.811275,517,3,10226
UMTS,88,25311251,12.422006,41.811355,1306,8,10202
UMTS,88,25336893,12.417073,41.800894,511,7,11392
GSM,88,2027,12.469171,41.886511,268,2,1767
UMTS,88,25311268,12.444623,41.856823,1087,5,5128
UMTS,88,25307357,12.442468,41.849938,2537,8,5807
UMTS,88,25702143,12.466461,41.871297,513,3,2845
UMTS,88,25233386,12.473061,41.891592,1965,40,1439
UMTS,88,25233387,12.470093,41.886792,578,49,1693
GSM,88,17566,12.565204,41.877411,5,2,5594
UMTS,88,25468189,12.570479,41.897457,1075,42,5860
UMTS,88,25438704,12.570937,41.897795,1161,26,5899
UMTS,88,25436904,12.567428,41.89754,720,32,5637
UMTS,88,25371395,12.56639,41.897035,89,14,5553
UMTS,88,25467231,12.564765,41.896758,695,18,5429
UMTS,88,25438640,12.565152,41.897282,857,13,5466
UMTS,88,25436901,12.567004,41.89749,24,4,5605
GSM,88,8936,12.570052,41.897239,875,4,5825
UMTS,88,25373195,12.566451,41.897147,161,34,5559
GSM,88,8963,12.566038,41.897032,15,5,5527
UMTS,88,25438628,12.561781,41.899411,708,4,5259
UMTS,88,25371395,12.566844,41.897589,32,2,5595
UMTS,88,25438734,12.575165,41.895241,719,3,6177
UMTS,88,25436840,12.563416,41.897416,499,17,5340
UMTS,88,25379212,12.590145,41.841785,4174,3,9038
UMTS,88,25403159,12.592244,41.836722,188,3,9505
UMTS,88,25401645,12.601357,41.849034,418,4,9297
UMTS,88,25373209,12.601986,41.84715,750,11,9442
UMTS,88,25323073,12.474548,41.819879,11040,2,7929
UMTS,88,25436838,12.569014,41.900898,1649,5,5819
UMTS,88,25401670,12.608274,41.889557,1236,7,8610
UMTS,88,25336962,12.478899,41.827936,45,2,6993
UMTS,88,25311069,12.488578,41.830023,43,2,6696
UMTS,88,25336964,12.474296,41.820369,424,2,7878
UMTS,88,25245434,12.482071,41.865524,12,5,2845
UMTS,88,25307352,12.406349,41.803478,3835,5,11562
UMTS,88,25305506,12.45184,41.854613,500,7,4967
UMTS,88,25401650,12.554062,41.831223,1842,3,7999
UMTS,88,25698696,12.460138,41.884318,492,8,2477
UMTS,88,25233403,12.457097,41.894127,380,36,2653
UMTS,88,25239883,12.457087,41.895222,261,9,2677
UMTS,88,25468186,12.564878,41.897556,470,4,5450
UMTS,88,25438701,12.565542,41.893048,701,6,5446
GSM,88,17603,12.565813,41.896906,6,2,5508
UMTS,88,25438558,12.523761,41.927415,180,8,4755
UMTS,88,25436747,12.480667,41.92167,11,3,3608
UMTS,88,25233412,12.47651,41.915226,1322,10,3024
UMTS,88,25373349,12.641383,41.866648,156,2,11372
UMTS,88,25467325,12.524253,41.927141,11,3,4746
UMTS,88,25373175,12.55795,41.860791,21,2,5866
UMTS,88,25401642,12.554655,41.861539,271,3,5617
GSM,88,17253,12.445278,41.856817,117,2,5095
UMTS,88,25299029,12.444636,41.856534,688,18,5151
UMTS,88,25240608,12.463769,41.889116,64,4,2124
UMTS,88,25245444,12.470848,41.886257,371,11,1653
UMTS,88,25336228,12.415649,41.802859,2373,6,11255
UMTS,88,25299008,12.469245,41.865249,163,2,3259
UMTS,88,25335800,12.470444,41.859882,211,2,3740
UMTS,88,25716544,12.467108,41.87639,1286,6,2420
UMTS,88,25436853,12.529172,41.888582,171,5,2741
UMTS,88,25438780,12.544856,41.890145,1294,2,3900
GSM,88,8872,12.562954,41.896821,225,3,5297
UMTS,88,25439330,12.521054,41.950808,17,2,7073
UMTS,88,25316140,12.443303,41.846043,1173,5,6110
UMTS,88,25245443,12.467421,41.886298,3751,14,1899
UMTS,88,25373729,12.583411,41.874195,47,4,6992
UMTS,88,25373727,12.584213,41.874611,105,2,7038
UMTS,88,25442094,12.538896,41.890728,18,6,3458
UMTS,88,25306154,12.412678,41.811681,54,5,10543
