,net,cell,lon,lat,range,samples,distanze
1198,10,12118505,12.446576,41.808129,241,31,9873.1351030249
1199,10,12511446,12.380998,41.934740999999995,304,18,10479.534512892536
1200,10,12488405,12.384471000000001,41.906998,288,17,9143.468182264214
1201,10,12511445,12.382785,41.921254,1281,73,9722.86624275426
1202,10,12118506,12.448056,41.807118,135,9,9930.721118160925
1203,10,12118511,12.445226,41.809584,138,17,9768.511395288439
1204,10,12115880,12.482251,41.800587,1378,63,9985.496416662918
1205,10,12116312,12.460344000000001,41.809034999999994,2037,224,9395.369955184338
1206,10,24229,12.457322999999999,41.806738,33,6,9712.496858488394
1207,10,23969,12.585426,41.841941,81,13,9404.193084320954
1208,10,12066171,12.572302,41.850788,136,23,7950.709388423114
1209,10,12079472,12.541317999999999,41.867011,264,38,4811.789903745225
1210,10,29391,12.537735000000001,41.869437,56,10,4416.857859363701
1211,10,12118503,12.586385,41.841218,14,3,9515.435654731029
1212,10,12096916,12.552266,41.862419,169,27,5852.868677289854
1213,10,12066169,12.564059,41.856012,489,67,7060.655356477253
1214,10,12116046,12.545478999999998,41.864505,249,36,5252.807186019878
1215,10,12117809,12.561792,41.857327000000005,251,3,6823.439679710475
1216,10,12118497,12.582676,41.843796999999995,282,40,9099.106650635193
1217,10,12066172,12.569856,41.852508,166,27,7676.110211755675
1218,10,12117328,12.543546000000001,41.852684,2295,305,5951.097654362291
1219,10,29398,12.537002000000001,41.869877,16,4,4339.457742782644
1220,10,12117331,12.539021,41.868634,16,4,4554.517090895324
1221,10,12117810,12.557459,41.859694,207,30,6378.889164822349
1222,10,12096919,12.554725999999999,41.861182,68,11,6098.870099037145
1223,10,12083376,12.45645,41.804775,563,8,9942.245462384453
1224,10,12064355,12.458267999999999,41.806803,32,7,9682.38923759105
1225,10,12118390,12.454675,41.80839,264,38,9606.885707140531
1226,10,12115877,12.47385,41.803069,453,61,9795.658276310858
1227,10,12083379,12.448835,41.803038,1013,55,10330.279314153662
1228,10,12097506,12.457769,41.806706,6,2,9704.869467748536
1229,10,12116930,12.59,41.836046,2524,380,10094.722927920126
1230,10,12091543,12.454461,41.811209000000005,1454,234,9317.351277393678
1231,10,12512013,12.488282,41.869693,231,45,2299.4279649546684
1232,10,12116713,12.522178,41.854678,2588,362,4656.433101402137
1233,10,12064442,12.55539,41.831041,413,50,8399.445456309557
1234,10,12512018,12.492842,41.867159,196,31,2556.53824686679
1235,10,12509149,12.496553,41.870015,338,15,2266.2293901642893
1236,10,12116623,12.548919,41.836999999999996,669,70,7546.848362434908
1237,10,12460918,12.491739,41.870388,415,37,2198.088270937964
1238,10,12117719,12.559801,41.82634,208,30,9036.242902751468
1239,10,12119936,12.4347,41.804182,631,118,10683.164873400656
1240,10,12115697,12.439039,41.802620000000005,340,23,10684.338469807084
1241,10,12117383,12.437301,41.815588,425,84,9460.998992864806
1242,10,12496229,12.393957,41.875789000000005,27,5,8320.108134585982
1243,10,12116305,12.455017,41.823562,1360,269,8021.110300506704
1244,10,12510088,12.429332,41.814422,424,46,9907.55035999702
1245,10,12083382,12.449883999999999,41.801429,280,43,10468.250665481135
1246,10,10387185,12.482071000000001,41.885371,145,22,1004.7876957508497
1247,10,12118395,12.453884,41.802264,739,61,10272.906740551136
1248,10,12064359,12.462462,41.81705,11,3,8492.099173357627
1249,10,12097705,12.45326,41.799803999999995,385,17,10548.791159512768
1250,10,12116070,12.472893,41.853307,148,20,4401.23102727536
1251,10,12064358,12.463356,41.818764,5,2,8288.348675813371
1252,10,12066555,12.471644,41.834861,35,5,6379.127533888652
1253,10,12101120,12.475541999999999,41.843202000000005,354,6,5400.097525778556
1254,10,12115965,12.476204,41.843472,7,2,5357.129385705533
1255,10,12116409,12.471969,41.855474,213,23,4208.443410089826
1256,10,12066556,12.470315,41.832398,15,3,6672.3903676121245
1257,10,12097578,12.463942,41.819871,9,2,8156.564523406037
1258,10,12091540,12.478767,41.805068,655,19,9519.523428190436
1259,10,12091535,12.483882000000001,41.80681,359,65,9285.705137065177
1260,10,12099517,12.4949,41.801039,210,29,9902.437675272367
1261,10,12116651,12.579346000000001,41.820674,272,26,10573.363137226323
1262,10,12099516,12.510807000000002,41.802545,1704,256,9853.080332451815
1263,10,12115712,12.534841,41.802690999999996,694,99,10338.149609352515
1264,10,12115705,12.52828,41.809705,21,5,9423.026454225068
1265,10,12118699,12.607564,41.849517999999996,142,18,10578.740626848145
1266,10,12118703,12.601358,41.85176,182,28,10006.381598290307
1267,10,12511557,12.384163000000001,41.840226,190,21,10556.000915085155
1268,10,12511559,12.383119,41.849215,894,89,10144.022267704166
1269,10,12083380,12.440552,41.802552,255,42,10639.81137703442
1270,10,12099516,12.493658,41.796089,69,7,10450.513491761873
1271,10,12118500,12.588956,41.845262,631,128,9446.469700648566
1272,10,12116973,12.594303,41.856962,776,91,9233.958259412711
1273,10,10084340,12.548373,41.963446999999995,225,37,9372.624099456749
1274,10,10086037,12.547263000000001,41.961431,11,3,9132.608142759587
1275,10,10071750,12.54913,41.965756,60,12,9626.699737273691
1276,10,10085291,12.609835,41.922342,72,14,10383.682388280204
1277,10,10086563,12.615321,41.90245,270,41,10297.030530250291
1278,10,10085293,12.613774000000001,41.91731,269,44,10517.929267459067
1279,10,12116650,12.569208,41.817213,852,101,10316.197980617642
1280,10,10059346,12.605319999999999,41.928059000000005,502,75,10275.679258979591
1281,10,10086870,12.599306,41.935655,470,77,10212.07483071055
1282,10,10085345,12.60264,41.867327,859,157,9501.61926637623
1283,10,10062141,12.563212,41.966196999999994,220,23,10289.199435310335
1284,10,10086560,12.615069,41.895108,645,62,10200.748582298927
1285,10,10086559,12.615463,41.906906,226,31,10385.423673140655
